Instrument,800N8573
Date,2023/04/28
Time,15:27:44
Assay #,0002
Application,Spectrometer Mode
Method,
Assay Duration (set),10s
Assay Duration (total actual),10.94s
Temperature (Detector),-27.5 C
Temperature (Ambient),37.56 C
Phase Count,1
Phases,"Phase 1(10s): 15.0kV, 20.0uA (No Filter)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
0,No Results,0,0
 
 
SPECTRA:
eV Channel Start,-0.46441885828971863,,
eV per Channel,19.983224868774414,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.46441885828971863,0,,
19.518806010484695,0,,
39.50203087925911,0,,
59.485255748033524,0,,
79.46848061680794,0,,
99.45170548558235,0,,
119.43493035435677,0,,
139.41815522313118,0,,
159.4013800919056,0,,
179.38460496068,0,,
199.36782982945442,0,,
219.35105469822884,0,,
239.33427956700325,0,,
259.31750443577766,0,,
279.3007293045521,0,,
299.2839541733265,5,,
319.2671790421009,43,,
339.2504039108753,217,,
359.23362877964973,730,,
379.21685364842415,1426,,
399.20007851719856,1425,,
419.183303385973,762,,
439.1665282547474,244,,
459.1497531235218,38,,
479.1329779922962,2,,
499.11620286107063,1,,
519.099427729845,1,,
539.0826525986195,1,,
559.0658774673939,1,,
579.0491023361683,22,,
599.0323272049427,16,,
619.0155520737171,25,,
638.9987769424915,40,,
658.982001811266,32,,
678.9652266800404,26,,
698.9484515488148,21,,
718.9316764175892,22,,
738.9149012863636,18,,
758.898126155138,18,,
778.8813510239124,20,,
798.8645758926868,18,,
818.8478007614613,22,,
838.8310256302357,23,,
858.8142504990101,24,,
878.7974753677845,21,,
898.7807002365589,28,,
918.7639251053333,39,,
938.7471499741077,43,,
958.7303748428822,26,,
978.7135997116566,44,,
998.696824580431,30,,
1018.6800494492054,25,,
1038.6632743179798,25,,
1058.6464991867542,24,,
1078.6297240555286,21,,
1098.612948924303,21,,
1118.5961737930775,28,,
1138.5793986618519,25,,
1158.5626235306263,24,,
1178.5458483994007,41,,
1198.5290732681751,41,,
1218.5122981369495,40,,
1238.495523005724,36,,
1258.4787478744984,31,,
1278.4619727432728,18,,
1298.4451976120472,29,,
1318.4284224808216,18,,
1338.411647349596,23,,
1358.3948722183704,17,,
1378.3780970871449,22,,
1398.3613219559193,32,,
1418.3445468246937,47,,
1438.327771693468,57,,
1458.3109965622425,74,,
1478.294221431017,82,,
1498.2774462997913,69,,
1518.2606711685658,68,,
1538.2438960373402,53,,
1558.2271209061146,48,,
1578.210345774889,31,,
1598.1935706436634,25,,
1618.1767955124378,19,,
1638.1600203812122,28,,
1658.1432452499866,51,,
1678.126470118761,77,,
1698.1096949875355,146,,
1718.09291985631,178,,
1738.0761447250843,214,,
1758.0593695938587,184,,
1778.0425944626331,141,,
1798.0258193314075,96,,
1818.009044200182,57,,
1837.9922690689564,73,,
1857.9754939377308,44,,
1877.9587188065052,46,,
1897.9419436752796,46,,
1917.925168544054,51,,
1937.9083934128284,65,,
1957.8916182816029,75,,
1977.8748431503773,99,,
1997.8580680191517,120,,
2017.841292887926,95,,
2037.8245177567005,107,,
2057.807742625475,90,,
2077.7909674942493,93,,
2097.7741923630238,91,,
2117.757417231798,87,,
2137.7406421005726,97,,
2157.723866969347,97,,
2177.7070918381214,145,,
2197.690316706896,246,,
2217.6735415756702,429,,
2237.6567664444447,877,,
2257.639991313219,1303,,
2277.6232161819935,1792,,
2297.606441050768,1870,,
2317.5896659195423,1653,,
2337.5728907883167,1380,,
2357.556115657091,1232,,
2377.5393405258656,1118,,
2397.52256539464,1044,,
2417.5057902634144,914,,
2437.489015132189,693,,
2457.472240000963,473,,
2477.4554648697376,306,,
2497.438689738512,276,,
2517.4219146072865,242,,
2537.405139476061,217,,
2557.3883643448353,249,,
2577.3715892136097,316,,
2597.354814082384,464,,
2617.3380389511585,638,,
2637.321263819933,824,,
2657.3044886887074,1099,,
2677.2877135574818,1248,,
2697.270938426256,1304,,
2717.2541632950306,1138,,
2737.237388163805,908,,
2757.2206130325794,659,,
2777.203837901354,569,,
2797.1870627701283,594,,
2817.1702876389027,635,,
2837.153512507677,738,,
2857.1367373764515,690,,
2877.119962245226,713,,
2897.1031871140003,749,,
2917.0864119827747,883,,
2937.069636851549,1095,,
2957.0528617203236,1115,,
2977.036086589098,1049,,
2997.0193114578724,764,,
3017.002536326647,524,,
3036.985761195421,335,,
3056.9689860641956,196,,
3076.95221093297,145,,
3096.9354358017445,167,,
3116.918660670519,151,,
3136.9018855392933,198,,
3156.8851104080677,215,,
3176.868335276842,250,,
3196.8515601456165,234,,
3216.834785014391,279,,
3236.8180098831654,325,,
3256.80123475194,367,,
3276.784459620714,453,,
3296.7676844894886,485,,
3316.750909358263,437,,
3336.7341342270374,408,,
3356.717359095812,355,,
3376.7005839645863,334,,
3396.6838088333607,306,,
3416.667033702135,337,,
3436.6502585709095,311,,
3456.633483439684,337,,
3476.6167083084583,429,,
3496.5999331772327,428,,
3516.583158046007,466,,
3536.5663829147816,435,,
3556.549607783556,454,,
3576.5328326523304,508,,
3596.516057521105,611,,
3616.499282389879,729,,
3636.4825072586536,793,,
3656.465732127428,885,,
3676.4489569962025,893,,
3696.432181864977,850,,
3716.4154067337513,716,,
3736.3986316025257,604,,
3756.3818564713,495,,
3776.3650813400745,439,,
3796.348306208849,427,,
3816.3315310776234,426,,
3836.314755946398,374,,
3856.297980815172,391,,
3876.2812056839466,396,,
3896.264430552721,423,,
3916.2476554214954,394,,
3936.23088029027,372,,
3956.2141051590443,386,,
3976.1973300278187,371,,
3996.180554896593,330,,
4016.1637797653675,339,,
4036.147004634142,343,,
4056.1302295029163,317,,
4076.1134543716908,376,,
4096.096679240465,339,,
4116.07990410924,325,,
4136.063128978014,355,,
4156.046353846788,321,,
4176.029578715563,340,,
4196.012803584337,324,,
4215.996028453112,312,,
4235.979253321886,267,,
4255.9624781906605,279,,
4275.945703059435,297,,
4295.928927928209,262,,
4315.912152796984,242,,
4335.895377665758,225,,
4355.878602534533,223,,
4375.861827403307,256,,
4395.845052272081,204,,
4415.828277140856,201,,
4435.81150200963,212,,
4455.794726878405,216,,
4475.777951747179,205,,
4495.761176615953,249,,
4515.744401484728,279,,
4535.727626353502,271,,
4555.710851222277,326,,
4575.694076091051,365,,
4595.6773009598255,441,,
4615.6605258286,541,,
4635.643750697374,606,,
4655.626975566149,601,,
4675.610200434923,622,,
4695.593425303698,505,,
4715.576650172472,400,,
4735.559875041246,334,,
4755.543099910021,268,,
4775.526324778795,242,,
4795.50954964757,214,,
4815.492774516344,217,,
4835.4759993851185,204,,
4855.459224253893,223,,
4875.442449122667,239,,
4895.425673991442,308,,
4915.408898860216,325,,
4935.392123728991,378,,
4955.375348597765,342,,
4975.358573466539,363,,
4995.341798335314,382,,
5015.325023204088,350,,
5035.308248072863,313,,
5055.291472941637,281,,
5075.274697810411,269,,
5095.257922679186,307,,
5115.24114754796,359,,
5135.224372416735,330,,
5155.207597285509,387,,
5175.1908221542835,448,,
5195.174047023058,535,,
5215.157271891832,716,,
5235.140496760607,1058,,
5255.123721629381,1931,,
5275.106946498156,3944,,
5295.09017136693,8353,,
5315.073396235704,16177,,
5335.056621104479,28685,,
5355.039845973253,44244,,
5375.023070842028,62184,,
5395.006295710802,74886,,
5414.9895205795765,79643,,
5434.972745448351,74766,,
5454.955970317125,60943,,
5474.9391951859,43595,,
5494.922420054674,27605,,
5514.905644923449,15407,,
5534.888869792223,7986,,
5554.872094660997,3893,,
5574.855319529772,2036,,
5594.838544398546,1097,,
5614.821769267321,798,,
5634.804994136095,678,,
5654.7882190048695,544,,
5674.771443873644,521,,
5694.754668742418,586,,
5714.737893611193,544,,
5734.721118479967,633,,
5754.7043433487415,803,,
5774.687568217516,1127,,
5794.67079308629,1567,,
